IMDb_Title_ID,Original_Title,Release_Year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
tt0111161,The Shawshank Redemption,,Drama,142,USA,R,Frank Darabont,$ 28815245,,9.3
tt0068646,The Godfather,,"Crime, Drama",175,USA,R,Francis Ford Coppola,$ 246120974,,9.2
tt0468569,The Dark Knight,,"Action, Crime, Drama",152,US,PG-13,Christopher Nolan,$ 1005455211,,9.
tt0071562,The Godfather: Part II,,"Crime, Drama",220,USA,R,Francis Ford Coppola,"$ 4o8,035,783",,"9,.0"
tt0110912,Pulp Fiction,,"Crime, Drama", ,USA,R,Quentin Tarantino,$ 222831817,,"8,9f"
tt0167260,The Lord of the Rings: The Return of the King,,"Action, Adventure, Drama",201,New Zealand,PG-13,Peter Jackson,$ 1142271098,,08.9
tt0108052,Schindler's List,,"Biography, Drama, History",Nan,USA,R,Steven Spielberg,$ 322287794,,8.9
tt0050083,12 Angry Men,,"Crime, Drama",96,USA,Not Rated,Sidney Lumet,$ 576,668.473,8.9
tt1375666,Inception,,"Action, Adventure, Sci-Fi",148,USA,PG-13,Christopher Nolan,$ 869784991,,8..8
tt0137523,Fight Club,,Drama,Inf,UK,R,David Fincher,$ 101218804,,8.8
tt0109830,Forrest Gump,,"Drama, Romance",142,USA,PG-13,Robert Zemeckis,$ 678229452,,8:8
tt0120737,The Lord of the Rings: The Fellowship of the Ring,,"Action, Adventure, Drama",178c,New Zesland,PG-13,Peter Jackson,$ 887934303,,8.8
tt0060196,"Il buono, il brutto, il cattivo",,Western,161,Italy,Approved,Sergio Leone,$ 25252481,672.499,8.8
,No Title,,Unknown,,,,,,,
tt0133093,The Matrix,,"Action, Sci-Fi",,USA,R,"Lana Wachowski, Lilly Wachowski",$ 465718588,,++8.7
tt0167261,The Lord of the Rings: The Two Towers,,"Action, Adventure, Drama",179,New Zeland,PG-13,Peter Jackson,$ 951227416,,8.7.
tt0080684,Star Wars: Episode V - The Empire Strikes Back,,"Action, Adventure, Fantasy",Not Applicable,USA,PG,Irvin Kershner,$ 549265501,,"8,7e-0"
tt0099685,Goodfellas,,"Biography, Crime, Drama",146,USA,R,Martin Scorsese,$ 46879633,991.505,8.7
tt0073486,One Flew Over the Cuckoo's Nest,,Drama,-,USA,R,Milos Forman,$ 108997629,891.071,8.7
tt0816692,Interstellar,,"Adventure, Drama, Sci-Fi",169,USA,PG-13,Christopher Nolan,$ 696742056,,8.6
tt0114369,Se7en,,"Crime, Drama, Mystery",127,USA,R,David Fincher,$ 327333559,,8.6
tt0102926,The Silence of the Lambs,,"Crime, Drama, Thriller",118,USA,R,Jonathan Demme,$ 272753884,,"8,6"
tt0076759,Star Wars,,"Action, Adventure, Fantasy",121,USA,PG,George Lucas,$ 775768912,,8.6
tt0120815,Saving Private Ryan,,"Drama, War",169,USA,R,Steven Spielberg,$ 482349603,,8.6
tt0120689,The Green Mile,,"Crime, Drama, Fantasy",189,US.,R,Frank Darabont,$ 286801374,,8.6
tt0317248,Cidade de Deus,,"Crime, Drama",130,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",$ 30680793,685.856,8.6
tt0245429,Sen to Chihiro no kamikakushi,,"Animation, Adventure, Family",125,Japan,PG,Hayao Miyazaki,$ 355467056,626.693,8.6
tt0118799,La vita B9 bella,,"Comedy, Drama, Romance",116,Italy1,,Roberto Benigni,$ 230098753,605.648,8.6
tt6751668,Gisaengchung,,"Comedy, Drama, Thriller",132,South Korea,,Bong Joon Ho,$ 257604912,470.931,8.6
tt0038650,It's a Wonderful Life,,"Drama, Family, Fantasy",130,USA,PG,Frank Capra,$ 6130720,388.31,8.6
tt0047478,Shichinin no samurai,,"Action, Adventure, Drama",207,Japan,Unrated,Akira Kurosawa,$ 322773,307.958,8.6
tt0172495,Gladiator,,"Action, Adventure, Drama",155,USA,R,Ridley Scott,$ 465361176,,8.5
tt0407887,The Departed,,"Crime, Drama, Thriller",151,USA,R,Martin Scorsese,$ 291465034,,8.5
tt0482571,The Prestige,,"Drama, Mystery, Sci-Fi",130,UK,PG-13,Christopher Nolan,$ 109676311,,8.5
tt0088763,Back to the Future,,"Adventure, Comedy, Sci-Fi",116,USA,PG,Robert Zemeckis,$ 388774684,,8.5
tt0120586,American History X,,Drama,119,USA,R,Tony Kaye,$ 23875127,,8.5
tt0110413,LÃ©on,,"Action, Crime, Drama",110,France,,Luc Besson,$ 19552639,,8.5
tt0103064,Terminator 2: Judgment Day,,"Action, Sci-Fi",137,USA,R,James Cameron,$ 520884847,974.97,8.4
tt0114814,The Usual Suspects,,"Crime, Mystery, Thriller",106,USA,R,Bryan Singer,$ 23341568,968.947,8.4
